1.1	IANUARIAS FASCIBUS SUMPTIS
1.2	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL. 
1.3	
1.4	consulis Ausonii Latiam visure curulem,
1.5	ecquid ab Augusta nunc maiestate secundum
1.6	quod mireris, habes? Roma illa domusque Quirini
1.7	et toga purpurei rutilans praetexta senati
1.8	hoc apice aeternis signat sua tempora fastis.
1.9	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.1
1.10	Anne, bonis coepte auspiciis, da vere salubri 
1.11	apricas ventorum animas, da roscida Cancro
1.12	solstitia et gelidum Boream Septembribus horis,
1.13	mordeat autumnis frigus subtile pruinis
1.14	et tenuata moris cesset mediocribus aestas,
1.15	sementem Notus umificet, sit bruma nivalis, 
1.16	dum pater antiqui renovatur Martius anni.
1.17	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.
1.18	Spiret odorato florum nova gratia Maio,
1.19	Iulius et segetes coquat et mare temperet Euris,
1.20	Sirius ardentem non augeat igne Leonem, 
1.21	discolor arboreos variet Pomona sapores,
1.22	mitiget autumnus, quod maturaverit aestas,
1.23	et genialis hiems parta sibi dote fruatur,
1.24	pacem mundus agat nec turbida sidera regnent.
1.25	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.
1.26	Nulla tuos, Gradive, offendat stella penates, 
1.27	quae non aequa tibi; non Cynthia, non celer Arcas
1.28	finitimus terris; non tu, Saturne, supremo
1.29	ultime circuitu: procul a Pyroente remotus
1.30	tranquillum properabis iter. vos comminus ite, 
1.31	stella salutigeri Iovis et Cythereie Vesper:
1.32	non umquam hospitibus facilis Cyllenius absit.
1.33	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.
1.34	Hostibus edomitis, qua Francia mixta Suebis
1.35	certat ad obsequium, Latiis ut militet armis, 
1.36	qua vaga Sauromates sibi iunxerat agmina Chuni,
1.37	quaque Getes sociis Histrum adsultabat Alanis
1.38	(hoc mihi praepetibus victoria nuntiat alis):
1.39	iam venit Augustus, nostros ut comat honores,
1.40	officio exornans, quos participare cupisset. 
1.41	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.
1.42	Aurea venturo, Sol, porrige gaudia Iano:
1.43	fascibus Ausonii succedet Caesar in annum,
1.44	quintam Romulei praetextam habiturus honoris,
1.45	ecce ubi se cumulat mea purpura (mitibus audi 
1.46	auribus hoc. Nemesis) post me dignatur oriri
1.47	Augustus consul, plus quam conferre videtur
1.48	me sibi, qui iussit nostros praecedere fasces.
1.49	IANE, VENI: NOVUS ANNE, VENI: RENOVATE VENI, SOL.
1.50	Tu tropicum soli da cedere, rursus et illum 
1.51	terga dare, ut duplex tropico varietur ab astro
1.52	et quater a ternis properet mutatio signis,
1.53	aestivos inpelle dies brumamque morantem
1.54	noctibus adceleret promissus Caesaris annus,
1.55	illum ego si cernam, tum terque quaterque beatus,
1.56	tunc ero bis consul, tunc tangam vertice caelum.
2.1	Anne, bonis coepte auspiciis, felicia cernis
2.2	consulis Ausonii primordia: prome coruscum,
2.3	Sol aeterne, caput solitoque inlustrior almo
2.4	lumine purpureum iubar exere lucis eoae.
2.5	anne, pater rerum, quas Iani mense bifrontis 
2.6	volvis in hibernum glaciali fine Decembrem,
2.7	alme, veni et festum veteri novus adice Ianum. 
2.7a	coge secuturos bis sena per ostia menses; 
2.8	sollemnes pervade vias bissenaque mundo 
2.9	curricula aequatis varians per tempora signis
2.10	praecipitem aeterna perfer vertigine cursum, 
2.11	sic prono raptate polo, contraria Phoebus
2.12	ut momenta ferat servata parte dierum
2.13	et novus hiberno reparet sua lumina pulsu,
2.14	menstrua ter decies redeunt dum cornua lunae,
2.15	exortus obitusque manu volvente rotabis, 
2.16	legitimum Phoebi cohibens per signa meatum.
